Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
41793,Hackers & Painters: Big Ideas from the Computer Age,Paul    Graham,"Graham, Paul","Allen Noren, Matt Hutchinson",0596006624,9780596006624,0,4.06,O'Reilly Media,Hardcover,272,2004,2004,,9/14/19,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
9641493,On Bullshit,Harry G. Frankfurt,"Frankfurt, Harry G.",,,,0,3.58,Princeton University Press,Kindle Edition,81,2009,1986,1/21/20,1/3/20,,,read,,,,1,,,0,,,,,
17383917,The Screwtape Letters,C.S. Lewis,"Lewis, C.S.",,0062023179,9780062023179,0,4.23,HarperOne,Hardcover,223,2013,1942,,7/27/19,,,read,,,,1,,,0,,,,,
55297149,"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",Colin Bryar,"Bryar, Colin",Bill Carr,,,0,4.34,St. Martin's Press,Kindle Edition,304,2021,2021,4/13/21,3/1/21,,,read,,,,1,,,0,,,,,
128166,Are Men Necessary?: When Sexes Collide,Maureen Dowd,"Dowd, Maureen",,042521236X,9780425212363,0,3.07,Berkley Books,Paperback,338,2006,2005,1/1/19,5/8/20,,,read,,,,1,,,0,,,,,
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",,,,4,4.36,Random House,Paperback,208,2016,2016,3/22/20,3/21/20,,,read,,,,1,,,0,,,,,
12688360,Predictable Revenue: Turn Your Business Into a Sales Machine with the $100 Million Best Practices of Salesforce.com,Aaron Ross,"Ross, Aaron",Marylou Tyler,0984380213,9780984380213,0,4.02,Pebblestorm,Paperback,208,2011,2011,,1/18/19,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
40364332,"Inheritance: A Memoir of Genealogy, Paternity, and Love",Dani Shapiro,"Shapiro, Dani",,1524732710,9781524732714,0,3.89,Knopf Publishing Group,Hardcover,252,2019,2019,12/18/19,7/2/19,,,read,,,,1,,,0,,,,,
34272478,Americana: A 400-Year History of American Capitalism,Bhu Srinivasan,"Srinivasan, Bhu",,0399563792,9780399563799,0,4.39,Penguin Press,Hardcover,576,2017,2017,,4/11/19,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
3450744,"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,"Thaler, Richard H.",Cass R. Sunstein,014311526X,9780143115267,5,3.83,Penguin Books,Paperback,260,2009,2008,,11/22/18,,,read,,,,1,,,0,,,,,
